frontQuery,gtRearStart,gtRearEnd,dbRearStart,dbRearEnd
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774775911123.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777128255.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778219103.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776310242.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784400011.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774775973618.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777128255.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778309965.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776310242.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784490876.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776036104.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777219242.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778309965.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776401101.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784490876.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776098597.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777310103.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778400829.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776491967.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784581861.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776161087.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777310103.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778491691.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776491967.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784672725.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776223577.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777400965.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778491691.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776582955.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784763587.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776286066.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777491829.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778582679.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776673815.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784763587.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776348556.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777491829.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778582679.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776764678.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784854450.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776411047.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777582818.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778673542.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776764678.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784945438.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776473537.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777673681.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778764405.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776855542.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774784945438.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776536027.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777764541.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778764405.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776946530.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774785036302.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776598517.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777764541.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778855268.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774776946530.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774785127163.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776661010.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777855404.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778946255.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777037392.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774785127163.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774776723498.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777855404.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774778946255.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774777128255.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_top_H/1403774785218150.png
