front,rear
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774737853513.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774739860594.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774737916012.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774739951581.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774737978509.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774739951581.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738041002.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740042444.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738103499.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740133306.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738165997.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740133306.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738228490.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740133306.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738290988.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740224294.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738353485.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740315156.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738415990.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740315156.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738478469.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740406019.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738540962.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740496881.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738603450.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740496881.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738665940.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740587869.png
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_rgb/1403774738728429.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/mono_rear_rgb/1403774740678732.png
