FrontImage,RearImage1,Correspondences1,RearImage2,Correspondences2,RearImage3,Correspondences3,RearImage4,Correspondences4,RearImage5,Correspondences5
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774740978071.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774738860730.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774747768638.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743678321.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743223882.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774737042853.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774741290527.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774742133032.png,15,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774744859906.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774737770005.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774754404104.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774741678594.png,12
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774741602978.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774742860183.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774747859501.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774751495378.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774745132623.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774744678185.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774741915431.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774742678458.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774749041214.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774737406429.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774735588551.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774733316111.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774742227884.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774738679005.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774739588006.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774751677229.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774745314473.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774741678594.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774742540335.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743860045.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774750222928.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774737224704.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774754767682.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774754313243.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774742852787.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774738315430.png,14,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774739678868.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774752677092.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774748132213.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774737860864.png,12
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774743165236.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774747950488.png,15,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774736770141.png,15,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774748859364.png,14,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774748404926.png,14,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774745678049.png,14
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774743477688.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774752858817.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774756040256.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774736224841.png,12,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774754222381.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774751949942.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774743790137.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774736951989.png,14,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774746314336.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774737860864.png,13,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774756767407.png,11,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774754494969.png,11
