FrontImage,RearImage,Correspondences
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774740978071.png,1403774742678458,34
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774741165544.png,1403774744678185,29
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774741353016.png,1403774743496471,35
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774741540487.png,1403774742405744,28
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774741727961.png,1403774742496608,29
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774741915431.png,1403774745405336,30
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774742102905.png,1403774745587186,29
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774742290374.png,1403774745314473,30
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774742477847.png,1403774748314062,29
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774742665319.png,1403774746677911,31
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774742852787.png,1403774745950761,30
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774743040256.png,1403774746405199,32
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774743227728.png,1403774747132350,25
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774743415198.png,1403774744587321,27
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774743602668.png,1403774747132350,28
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774743790137.png,1403774746768774,30
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774744040108.png,1403774750495515,28
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774744290079.png,1403774746132486,28
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774744477549.png,1403774746950625,32
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774744727520.png,1403774745678049,29
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774744977507.png,1403774749677502,30
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774745164996.png,1403774750131940,32
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774745414983.png,1403774747314200,47
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774745664954.png,1403774747223337,39
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/stereo/centre_top_H/1403774745852425.png,1403774749495652,37
