FrontImage,RearImage,Correspondences
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774740978071.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774742769320.png,15
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774741290527.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774749404790.png,15
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774741602978.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774744678185.png,28
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774741915431.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743587459.png,15
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774742227884.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743042033.png,13
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774742540335.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774748404926.png,15
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774742852787.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743587459.png,21
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774743165236.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774753858680.png,10
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774743477688.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774745132623.png,9
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774743790137.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743587459.png,11
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774744165087.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774746223474.png,9
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774744602539.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774743042033.png,10
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774744977507.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774752495242.png,12
/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/front_top/1403774745352486.png,/scratch/udit/robotcar/overcast/2014-06-26-09-24-58/vpr/rear_top/1403774757403696.png,11
